序位	詞頻
1336	9
1337	9
1338	9
1339	9
1340	9
1341	9
1342	9
1343	9
1344	9
1345	9
1346	9
1347	9
1348	9
1349	9
1350	9
1351	9
1352	9
1353	9
1354	9
1355	9
1356	9
1357	9
1358	9
1359	9
1360	9
1361	9
1362	9
1363	9
1364	9
1365	9
1366	9
1367	9
1368	9
1369	9
1370	9
1371	9
1372	8
1373	8
1374	8
1375	8
1376	8
1377	8
1378	8
1379	8
1380	8
1381	8
1382	8
1383	8
1384	8
1385	8
1386	8
1387	8
1388	8
1389	8
1390	8
1391	8
1392	8
1393	8
1394	8
1395	8
1396	8
1397	8
1398	8
1399	8
1400	8
1401	8
1402	8
1403	8
1404	8
1405	8
1406	8
1407	8
1408	8
1409	8
1410	8
1411	8
1412	8
1413	8
1414	8
1415	8
1416	8
1417	8
1418	8
1419	8
1420	8
1421	8
1422	8
1423	8
1424	8
1425	8
1426	8
1427	8
1428	8
1429	8
1430	8
1431	8
1432	8
1433	8
1434	8
1435	8
1436	8
1437	8
1438	8
1439	8
1440	8
1441	8
1442	8
1443	8
1444	8
1445	8
1446	8
1447	8
1448	8
1449	8
1450	8
1451	8
1452	8
1453	8
1454	8
1455	8
1456	8
1457	8
1458	8
1459	8
1460	8
1461	8
1462	8
1463	8
1464	8
1465	8
1466	8
1467	8
1468	8
1469	8
1470	8
1471	8
1472	8
1473	8
1474	8
1475	8
1476	8
1477	8
1478	8
1479	8
1480	8
1481	8
1482	8
1483	8
1484	8
1485	8
1486	8
1487	8
1488	8
1489	8
1490	8
1491	8
1492	8
1493	8
1494	8
1495	8
1496	8
1497	8
1498	8
1499	8
1500	8
1501	8
1502	8
1503	8
1504	8
1505	8
1506	8
1507	8
1508	8
1509	8
1510	8
1511	8
1512	8
1513	8
1514	8
1515	8
1516	8
1517	8
1518	8
1519	8
1520	8
1521	8
1522	8
1523	8
1524	8
1525	8
1526	8
1527	8
1528	8
1529	8
1530	8
1531	8
1532	8
1533	8
1534	8
1535	8
1536	8
1537	8
1538	8
1539	7
1540	7
1541	7
1542	7
1543	7
1544	7
1545	7
1546	7
1547	7
1548	7
1549	7
1550	7
1551	7
1552	7
1553	7
1554	7
1555	7
1556	7
1557	7
1558	7
1559	7
1560	7
1561	7
1562	7
1563	7
1564	7
1565	7
1566	7
1567	7
1568	7
1569	7
1570	7
1571	7
1572	7
1573	7
1574	7
1575	7
1576	7
1577	7
1578	7
1579	7
1580	7
1581	7
1582	7
1583	7
1584	7
1585	7
1586	7
1587	7
1588	7
1589	7
1590	7
1591	7
1592	7
1593	7
1594	7
1595	7
1596	7
1597	7
1598	7
1599	7
1600	7
1601	7
1602	7
1603	7
1604	7
1605	7
1606	7
1607	7
1608	7
1609	7
1610	7
1611	7
1612	7
1613	7
1614	7
1615	7
1616	7
1617	7
1618	7
1619	7
1620	7
1621	7
1622	7
1623	7
1624	7
1625	7
1626	7
1627	7
1628	7
1629	7
1630	7
1631	7
1632	7
1633	7
1634	7
1635	7
1636	7
1637	7
1638	7
1639	7
1640	7
1641	7
1642	7
1643	7
1644	7
1645	7
1646	7
1647	7
1648	7
1649	7
1650	7
1651	7
1652	7
1653	7
1654	7
1655	7
1656	7
1657	7
1658	7
1659	7
1660	7
1661	7
1662	7
1663	7
1664	7
1665	7
1666	7
1667	7
1668	7
1669	7
1670	7
1671	7
1672	7
1673	7
1674	7
1675	7
1676	7
1677	7
1678	7
1679	7
1680	7
1681	7
1682	7
1683	7
1684	7
1685	7
1686	7
1687	7
1688	7
1689	7
1690	7
1691	7
1692	7
1693	7
1694	7
1695	7
1696	7
1697	7
1698*	7
1699	7
1700	7
1701	7
1702	7
1703	7
1704	7
1705	7
1706	7
1707	7
1708	7
1709	7
1710	7
1711	7
1712	7
1713	7
1714	7
1715	7
1716	7
1717	7
1718	7
1719	7
1720	7
1721	7
1722	7
1723	7
1724	7
1725	7
1726	7
1727	7
1728	7
1729	7
1730	7
1731	7
1732	7
1733	7
1734	7
1735	7
1736	7
1737	7
1738	7
1739	7
1740	7
1741	7
1742	7
1743	7
1744	7
1745	7
1746	7
1747	7
1748	7
1749	7
1750	7
1751	7
1752	7
1753	7
1754	7
1755	7
1756	7
1757	7
1758	7
1759	7
1760	7
1761	7
1762	7
1763	7
1764	7
1765	7
1766	7
1767	7
1768	7
1769	7
1770	7
1771	7
1772	7
1773	6
1774	6
1775	6
1776	6
1777	6
1778	6
1779	6
1780	6
1781	6
1782	6
1783	6
1784	6
1785	6
1786	6
1787	6
1788	6
1789	6
1790	6
1791	6
1792	6
1793	6
1794	6
1795	6
1796	6
1797	6
1798	6
1799	6
1800	6
1801	6
1802	6
1803	6
1804	6
1805	6
1806	6
1807	6
1808	6
1809	6
1810	6
1811	6
1812	6
1813	6
1814	6
1815	6
1816	6
1817	6
1818	6
1819	6
1820	6
1821	6
1822	6
1823	6
1824	6
1825	6
1826	6
1827	6
1828	6
1829	6
1830	6
1831	6
1832	6
1833	6
1834	6
1835	6
1836	6
1837	6
1838	6
1839	6
1840	6
1841	6
1842	6
1843	6
1844	6
1845	6
1846	6
1847	6
1848	6
1849	6
1850	6
1851	6
1852	6
1853	6
1854	6
1855	6
1856	6
1857	6
1858	6
1859	6
1860	6
1861	6
1862	6
1863	6
1864	6
1865	6
1866	6
1867	6
1868	6
1869	6
1870	6
1871	6
1872	6
1873	6
1874	6
1875	6
1876	6
1877	6
1878	6
1879	6
1880	6
1881	6
1882	6
1883	6
1884	6
1885	6
1886	6
1887	6
1888	6
1889	6
1890	6
1891	6
1892	6
1893	6
1894	6
1895	6
1896	6
1897	6
1898	6
1899	6
1900	6
1901	6
1902	6
1903	6
1904	6
1905	6
1906	6
1907	6
1908	6
1909	6
1910	6
1911	6
1912	6
1913	6
1914	6
1915	6
1916	6
1917	6
1918	6
1919	6
1920	6
1921	6
1922	6
1923	6
1924	6
1925	6
1926	6
1927	6
1928	6
1929	6
1930	6
1931	6
1932	6
1933	6
1934	6
1935	6
1936	6
1937	6
1938	6
1939	6
1940	6
1941	6
1942	6
1943	6
1944	6
1945	6
1946	6
1947	6
1948	6
1949	6
1950	6
1951	6
1952	6
1953	6
1954	6
1955	6
1956	6
1957	6
1958	6
1959	6
1960	6
1961	6
1962	6
1963	6
1964	6
1965	6
1966	6
1967	6
1968	6
1969	6
1970	6
1971	6
1972	6
1973	6
1974	6
1975	6
1976	6
1977	6
1978	6
1979	6
1980	6
1981	6
1982	6
1983	6
1984	6
1985	6
1986	6
1987	6
1988	6
1989	6
1990	6
1991	6
1992	6
1993	6
1994	6
1995	6
1996	6
1997	6
1998	6
1999	6
2000	6
2001	6
2002	6
2003	6
2004	6
2005	6
2006	6
2007	6
2008	6
2009	6
2010	6
2011	6
2012	6
2013	6
2014	6
2015	6
2016	6
2017	6
2018	6
2019	6
2020	6
2021	6
2022	6
2023	6
2024	6
2025	6
2026	6
2027	6
2028	6
2029	6
2030	6
2031	6
2032	6
2033	6
2034	6
2035	6
2036	6
2037	6
2038	6
2039	6
2040	6
2041	6
2042	6
2043	6
2044	6
2045	6
2046	6
2047	6
2048	6
2049	6
2050	6
2051	6
2052	6
2053	6
2054	6
2055	6
2056	6
2057	6
2058	6
2059	6
2060	6
2061	6
2062	6
2063	6
2064	6
2065	6
2066	6
2067	6
2068	6
2069	6
2070	6
2071	6
2072	5
2073	5
2074	5
2075	5
2076	5
2077	5
2078	5
2079	5
2080	5
2081	5
2082	5
2083	5
2084	5
2085	5
2086	5
2087	5
2088	5
2089	5
2090	5
2091	5
2092	5
2093	5
2094	5
2095	5
2096	5
2097	5
2098	5
2099	5
2100	5
2101	5
2102	5
2103	5
2104	5
2105	5
2106	5
2107	5
2108	5
2109	5
2110	5
2111	5
2112	5
2113	5
2114	5
2115	5
2116	5
2117	5
2118	5
2119	5
2120	5
2121	5
2122	5
2123	5
2124	5
2125	5
2126	5
2127	5
2128	5
2129	5
2130	5
2131	5
2132	5
2133	5
2134	5
2135	5
2136	5
2137	5
2138	5
2139	5
2140	5
2141	5
2142	5
2143	5
2144	5
2145	5
2146	5
2147	5
2148	5
2149	5
2150	5
2151	5
2152	5
2153	5
2154	5
2155	5
2156	5
2157	5
2158	5
2159	5
2160	5
2161	5
2162	5
2163	5
2164	5
2165	5
2166	5
2167	5
2168	5
2169	5
2170	5
2171	5
2172	5
2173	5
2174	5
2175	5
2176	5
2177	5
2178	5
2179	5
2180	5
2181	5
2182	5
2183	5
2184	5
2185	5
2186	5
2187	5
2188	5
2189	5
2190	5
2191	5
2192	5
2193	5
2194	5
2195	5
2196	5
2197	5
2198	5
2199	5
2200	5
2201	5
2202	5
2203	5
2204	5
2205	5
2206	5
2207	5
2208	5
2209	5
2210	5
2211	5
2212	5
2213	5
2214	5
2215	5
2216	5
2217	5
2218	5
2219	5
2220	5
2221	5
2222	5
2223	5
2224	5
2225	5
2226	5
2227	5
2228	5
2229	5
2230	5
2231	5
2232	5
2233	5
2234	5
2235	5
2236	5
2237	5
2238	5
2239	5
2240	5
2241	5
2242	5
2243	5
2244	5
2245	5
2246	5
2247	5
2248	5
2249	5
2250	5
2251	5
2252	5
2253	5
2254	5
2255	5
2256	5
2257	5
2258	5
2259	5
2260	5
2261	5
2262	5
2263	5
2264	5
2265	5
2266	5
2267	5
2268	5
2269	5
2270	5
2271	5
2272	5
2273	5
2274	5
2275	5
2276	5
2277	5
2278	5
2279	5
2280	5
2281	5
2282	5
2283	5
2284	5
2285	5
2286	5
2287	5
2288	5
2289	5
2290	5
2291	5
2292	5
2293	5
2294	5
2295	5
2296	5
2297	5
2298	5
2299	5
2300	5
2301	5
2302	5
2303	5
2304	5
2305	5
2306	5
2307	5
2308	5
2309	5
2310	5
2311	5
2312	5
2313	5
2314	5
2315	5
2316	5
2317	5
2318	5
2319	5
2320	5
2321	5
2322	5
2323	5
2324	5
2325	5
2326	5
2327	5
2328	5
2329	5
2330	5
2331	5
2332	5
2333	5
2334	5
2335	5
2336	5
2337	5
2338	5
2339	5
2340	5
2341	5
2342	5
2343	5
2344	5
2345	5
2346	5
2347	5
2348	5
2349	5
2350	5
2351	5
2352	5
2353	5
2354	5
2355	5
2356	5
2357	5
2358	5
2359	5
2360	5
2361	5
2362	5
2363	5
2364	5
2365	5
2366	5
2367	5
2368	5
2369	5
2370	5
2371	5
2372	5
2373	5
2374	5
2375	5
2376	5
2377	5
2378	5
2379	5
2380	5
2381	5
2382	5
2383	5
2384	5
2385	5
2386	5
2387	5
2388	5
2389	5
2390	5
2391	5
2392	5
2393	5
2394	5
2395	5
2396	5
2397	5
2398	5
2399	5
2400	5
2401	5
2402	5
2403	5
2404	5
2405	5
2406	5
2407	5
2408	5
2409	5
2410	5
2411	5
2412	5
2413	5
2414	5
2415	5
2416	5
2417	5
2418	5
2419	5
2420	5
2421	5
2422	5
2423	5
2424	5
2425	5
2426	5
2427	5
2428	5
2429	5
2430	5
2431	5
2432	5
2433	5
2434	5
2435	5
2436	5
2437	5
2438	5
2439	5
2440	5
2441	5
2442	5
2443	5
2444	5
2445	5
2446	5
2447	5
2448	5
2449	5
2450	5
2451	5
2452	5
2453	5
2454	5
2455	5
2456	5
2457	5
2458	5
2459	5
2460	5
2461	5
2462	5
2463	5
2464	5
2465	5
2466	5
2467	5
2468	5
2469	5
2470	5
2471	5
2472	5
2473	5
2474	5
2475	5
2476	5
2477	5
2478	5
2479	5
2480	5
2481	5
2482	5
2483	5
2484	5
2485	5
2486	5
2487	5
2488	5
2489	5
2490	5
2491	5
2492	5
2493	5
2494	5
2495	5
2496	5
2497	5
2498	4
2499	4
2500	4
2501	4
2502	4
2503	4
2504	4
2505	4
2506	4
2507	4
2508	4
2509	4
2510	4
2511	4
2512	4
2513	4
2514	4
2515	4
2516	4
2517	4
2518	4
2519	4
2520	4
2521	4
2522	4
2523	4
2524	4
2525	4
2526	4
2527	4
2528	4
2529	4
2530	4
2531	4
2532	4
2533	4
2534	4
2535	4
2536	4
2537	4
2538	4
2539	4
2540	4
2541	4
2542	4
2543	4
2544	4
2545	4
2546	4
2547	4
2548	4
2549	4
2550	4
2551	4
2552	4
2553	4
2554	4
2555	4
2556	4
2557	4
2558	4
2559	4
2560	4
2561	4
2562	4
2563	4
2564	4
2565	4
2566	4
2567	4
2568	4
2569	4
2570	4
2571	4
2572	4
2573	4
2574	4
2575	4
2576	4
2577	4
2578	4
2579	4
2580	4
2581	4
2582	4
2583	4
2584	4
2585	4
2586	4
2587	4
2588	4
2589	4
2590	4
2591	4
2592	4
2593	4
2594	4
2595	4
2596	4
2597	4
2598	4
2599	4
2600	4
2601	4
2602	4
2603	4
2604	4
2605	4
2606	4
2607	4
2608	4
2609	4
2610	4
2611	4
2612	4
2613	4
2614	4
2615	4
2616	4
2617	4
2618	4
2619	4
2620	4
2621	4
2622	4
2623	4
2624	4
2625	4
2626	4
2627	4
2628	4
2629	4
2630	4
2631	4
2632	4
2633	4
2634	4
2635	4
2636	4
2637	4
2638	4
2639	4
2640	4
2641	4
2642	4
2643	4
2644	4
2645	4
2646	4
2647	4
2648	4
2649	4
2650	4
2651	4
2652	4
2653	4
2654	4
2655	4
2656	4
2657	4
2658	4
2659	4
2660	4
2661	4
2662	4
2663	4
2664	4
2665	4
2666	4
2667	4
2668	4
2669	4
2670	4
2671	4
2672	4
2673	4
2674	4
2675	4
2676	4
2677	4
2678	4
2679	4
2680	4
2681	4
2682	4
2683	4
2684	4
2685	4
2686	4
2687	4
2688	4
2689	4
2690	4
2691	4
2692	4
2693	4
2694	4
2695	4
2696	4
2697	4
2698	4
2699	4
2700	4
2701	4
2702	4
2703	4
2704	4
2705	4
2706	4
2707	4
2708	4
2709	4
2710	4
2711	4
2712	4
2713	4
2714	4
2715	4
2716	4
2717	4
2718	4
2719	4
2720	4
2721	4
2722	4
2723	4
2724	4
2725	4
2726	4
2727	4
2728	4
2729	4
2730	4
2731	4
2732	4
2733	4
2734	4
2735	4
2736	4
2737	4
2738	4
2739	4
2740	4
2741	4
2742	4
2743	4
2744	4
2745	4
2746	4
2747	4
2748	4
2749	4
2750	4
2751	4
2752	4
2753	4
2754	4
2755	4
2756	4
2757	4
2758	4
2759	4
2760	4
2761	4
2762	4
2763	4
2764	4
2765	4
2766	4
2767	4
2768	4
2769	4
2770	4
2771	4
2772	4
2773	4
2774	4
2775	4
2776	4
2777	4
2778	4
2779	4
2780	4
2781	4
2782	4
2783	4
2784	4
2785	4
2786	4
2787	4
2788	4
2789	4
2790	4
2791	4
2792	4
2793	4
2794	4
2795	4
2796	4
2797	4
2798	4
2799	4
2800	4
2801	4
2802	4
2803	4
2804	4
2805	4
2806	4
2807	4
2808	4
2809	4
2810	4
2811	4
2812	4
2813	4
2814	4
2815	4
2816	4
2817	4
2818	4
2819	4
2820	4
2821	4
2822	4
2823	4
2824	4
2825	4
2826	4
2827	4
2828	4
2829	4
2830	4
2831	4
2832	4
2833	4
2834	4
2835	4
2836	4
2837	4
2838	4
2839	4
2840	4
2841	4
2842	4
2843	4
2844	4
2845	4
2846	4
2847	4
2848	4
2849	4
2850	4
2851	4
2852	4
2853	4
2854	4
2855	4
2856	4
2857	4
2858	4
2859	4
2860	4
2861	4
2862	4
2863	4
2864	4
2865	4
2866	4
2867	4
2868	4
2869	4
2870	4
2871	4
2872	4
2873	4
2874	4
2875	4
2876	4
2877	4
2878	4
2879	4
2880	4
2881	4
2882	4
2883	4
2884	4
2885	4
2886	4
2887	4
2888	4
2889	4
2890	4
2891	4
2892	4
2893	4
2894	4
2895	4
2896	4
2897	4
2898	4
2899	4
2900	4
2901	4
2902	4
2903	4
2904	4
2905	4
2906	4
2907	4
2908	4
2909	4
2910	4
2911	4
2912	4
2913	4
2914	4
2915	4
2916	4
2917	4
2918	4
2919	4
2920	4
2921	4
2922	4
2923	4
2924	4
2925	4
2926	4
2927	4
2928	4
2929	4
2930	4
2931	4
2932	4
2933	4
2934	4
2935	4
2936	4
2937	4
2938	4
2939	4
2940	4
2941	4
2942	4
2943	4
2944	4
2945	4
2946	4
2947	4
2948	4
2949	4
2950	4
2951	4
2952	4
2953	4
2954	4
2955	4
2956*	4
2957	4
2958	4
2959	4
2960	4
2961	4
2962	4
2963	4
2964	4
2965	4
2966	4
2967	4
2968	4
2969	4
2970	4
2971	4
2972	4
2973	4
2974	4
2975	4
2976	4
2977	4
2978	4
2979	4
2980	4
2981	4
2982	4
2983	4
2984	4
2985	4
2986	4
2987	4
2988	4
2989	4
2990	4
2991	4
2992	4
2993	4
2994	4
